t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0048,-22.583,-63.1714,-68.6646,-168.762,-112.305,-177.002,-310.669,-239.258,-138.55,-112,-182.19,-86.3647,-78.7354,-131.531,-96.7407
0.00485,-23.1934,-63.1714,-68.9697,-169.067,-111.389,-177.307,-311.584,-239.563,-138.245,-111.694,-182.8,-86.0596,-78.4302,-131.531,-96.7407
0.0049,-23.4985,-63.4766,-68.9697,-170.288,-110.779,-177.307,-312.195,-240.173,-138.55,-111.389,-182.8,-86.3647,-77.8198,-131.531,-96.7407
0.00495,-23.4985,-63.4766,-68.9697,-170.898,-109.863,-177.307,-312.805,-240.479,-138.55,-111.389,-183.105,-86.0596,-77.2095,-131.836,-96.7407
0.005,-23.8037,-63.1714,-69.2749,-171.204,-108.948,-177.612,-312.805,-240.479,-138.855,-111.694,-183.105,-86.0596,-76.5991,-132.141,-97.0459
0.00505,-24.4141,-63.1714,-69.8853,-172.119,-108.032,-177.917,-313.11,-240.784,-138.855,-111.084,-182.8,-86.0596,-76.5991,-131.836,-97.3511
0.0051,-25.0244,-62.8662,-69.5801,-172.119,-108.032,-178.528,-313.721,-241.089,-139.16,-111.084,-183.411,-86.3647,-76.2939,-132.141,-97.0459
0.00515,-25.0244,-62.8662,-69.5801,-171.814,-107.422,-178.528,-313.416,-240.784,-139.771,-111.084,-183.411,-86.6699,-76.5991,-132.751,-97.0459
0.0052,-25.3296,-62.2559,-69.8853,-172.119,-107.117,-178.833,-313.721,-240.784,-140.076,-111.389,-183.105,-86.0596,-76.2939,-132.751,-97.3511
0.00525,-25.3296,-62.561,-69.8853,-172.119,-107.117,-179.138,-313.721,-240.784,-140.991,-110.779,-183.105,-85.7544,-76.5991,-132.446,-97.6563
0.0053,-25.3296,-62.2559,-70.4956,-171.814,-107.117,-179.138,-313.416,-240.784,-140.991,-110.168,-183.105,-85.7544,-76.9043,-132.446,-97.9614
0.00535,-25.6348,-62.561,-70.8008,-172.119,-107.422,-180.054,-313.416,-240.784,-141.296,-110.168,-183.105,-85.4492,-76.5991,-132.446,-98.2666
