t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.00475,-22.8882,-7.62939,-32.3486,-0.915527,1.83105,-3.66211,-2.13623,3.05176,-10.6812,0.0,-1.52588,-3.96729,4.27246,-7.32422,-2.13623,0.610352,-1.83105,-1.2207,-7.32422,-18.0054
0.0048,-23.4985,-8.54492,-32.0435,-0.915527,1.52588,-3.66211,-2.13623,2.44141,-11.5967,-0.610352,-2.13623,-4.27246,3.96729,-8.23975,-2.44141,0.305176,-1.83105,-1.83105,-7.62939,-18.0054
0.00485,-22.583,-8.23975,-32.6538,-1.2207,1.2207,-3.96729,-2.13623,2.13623,-11.5967,0.0,-2.13623,-3.96729,4.57764,-7.93457,-2.44141,0.305176,-2.13623,-1.2207,-7.32422,-18.3105
0.0049,-23.1934,-8.23975,-32.6538,-0.915527,1.2207,-3.35693,-2.44141,2.13623,-11.9019,0.0,-2.13623,-4.27246,4.27246,-7.62939,-2.44141,0.305176,-1.83105,-1.52588,-7.01904,-18.9209
0.00495,-23.1934,-8.54492,-32.3486,-0.915527,1.52588,-3.05176,-2.74658,1.83105,-11.9019,0.305176,-2.13623,-4.27246,4.88281,-7.62939,-2.13623,0.305176,-1.83105,-1.52588,-7.32422,-18.6157
0.005,-23.4985,-7.93457,-32.3486,-0.915527,1.2207,-3.05176,-2.44141,2.13623,-11.9019,0.0,-1.52588,-4.27246,4.57764,-7.93457,-2.44141,0.610352,-1.83105,-1.52588,-7.01904,-18.9209
0.00505,-23.8037,-8.23975,-32.3486,-0.915527,1.2207,-2.74658,-2.74658,1.83105,-12.207,0.0,-1.83105,-4.57764,4.57764,-7.62939,-2.74658,0.305176,-2.13623,-2.44141,-7.32422,-18.6157
0.0051,-23.8037,-7.62939,-32.959,-1.2207,0.915527,-3.05176,-3.05176,1.83105,-11.9019,-0.305176,-2.13623,-4.57764,4.57764,-7.93457,-2.74658,0.305176,-2.44141,-2.13623,-7.62939,-18.9209
0.00515,-24.4141,-8.23975,-33.2642,-1.2207,0.610352,-3.05176,-3.96729,1.52588,-12.5122,-0.305176,-2.13623,-4.88281,4.27246,-8.23975,-3.35693,0.0,-3.05176,-2.74658,-7.32422,-19.5313
0.0052,-24.4141,-7.93457,-33.2642,-1.52588,0.0,-3.35693,-3.96729,1.52588,-12.8174,-0.610352,-3.05176,-5.18799,3.96729,-7.93457,-3.05176,0.0,-3.35693,-2.44141,-7.93457,-19.5313
0.00525,-25.0244,-8.54492,-33.5693,-1.52588,0.0,-3.66211,-4.27246,1.83105,-13.1226,-1.2207,-3.05176,-5.18799,3.35693,-9.15527,-3.66211,0.0,-3.35693,-3.05176,-7.93457,-19.8364
0.0053,-25.3296,-8.54492,-33.8745,-2.13623,0.0,-3.66211,-4.57764,1.52588,-13.7329,-1.2207,-3.35693,-5.18799,3.05176,-8.8501,-3.35693,0.0,-3.66211,-3.05176,-8.23975,-19.8364
0.00535,-25.3296,-9.15527,-34.1797,-2.44141,-0.305176,-4.27246,-5.18799,1.2207,-13.4277,-1.52588,-3.66211,-4.88281,3.05176,-9.15527,-3.35693,-0.610352,-3.66211,-3.05176,-8.54492,-20.1416
0.0054,-25.9399,-9.46045,-34.4849,-2.74658,-0.610352,-3.96729,-5.18799,1.2207,-13.7329,-1.83105,-4.27246,-5.49316,2.44141,-9.76563,-3.66211,-0.915527,-4.27246,-3.35693,-8.8501,-20.4468
0.00545,-25.9399,-9.46045,-34.1797,-3.05176,-0.915527,-4.57764,-5.18799,1.2207,-14.0381,-1.83105,-4.57764,-5.79834,1.83105,-9.46045,-3.66211,-0.915527,-4.27246,-3.35693,-9.15527,-20.4468
0.0055,-26.5503,-9.76563,-34.1797,-3.05176,-1.2207,-4.88281,-5.18799,0.915527,-14.0381,-2.44141,-4.88281,-6.10352,1.83105,-10.0708,-3.96729,-1.2207,-4.57764,-3.96729,-8.8501,-20.4468
0.00555,-26.5503,-9.76563,-35.0952,-3.66211,-1.52588,-5.18799,-5.79834,1.2207,-14.6484,-2.74658,-5.18799,-6.40869,1.52588,-9.76563,-3.96729,-1.52588,-5.18799,-3.66211,-9.46045,-20.4468
0.0056,-26.8555,-10.376,-34.79,-3.66211,-1.83105,-5.49316,-5.79834,0.610352,-14.6484,-2.74658,-5.18799,-6.40869,1.52588,-10.376,-4.27246,-1.83105,-5.18799,-3.96729,-10.0708,-20.752
0.00565,-26.8555,-10.6812,-35.0952,-4.27246,-1.52588,-4.88281,-6.10352,0.0,-14.9536,-3.05176,-6.10352,-7.32422,1.2207,-10.376,-4.88281,-1.83105,-5.49316,-4.27246,-10.0708,-21.0571
0.0057,-27.1606,-10.6812,-35.0952,-3.96729,-1.83105,-5.49316,-6.10352,0.0,-14.9536,-3.35693,-6.40869,-7.32422,0.915527,-10.9863,-4.88281,-1.83105,-5.49316,-4.57764,-10.6812,-20.752
